fips,pm25_2000,pm25_2001,pm25_2002,pm25_2003,pm25_2004,pm25_2005,pm25_2006,pm25_2007,pm25_2008,pm25_2009,pm25_2010,pm25_2011,pm25_2012,pm25_2013,pm25_2014,pm25_2015,pm25_2016,pm25_2017,pm25_2018
8119,3.208322237,3.159853529,2.488814913,2.739480692,2.769640479,2.716977364,2.733422104,3.746537949,3.172503329,2.830359521,2.727896138,3.143209055,2.553661784,2.415312916,1.888881491,1.221438083,1.29494008,2.664913449,3.178628495
8121,5.576704792,4.863906182,5.49079195,4.921601274,4.11728681,3.972144202,4.329144346,4.889083538,4.287143478,3.942058781,3.872853627,3.919588823,4.458882293,3.171651947,3.339365861,3.507818155,2.839061821,3.601013465,4.116780078
9005,10.00822952,10.698339,9.451377878,9.534163835,8.314496036,8.500490751,7.088939222,8.362325406,7.670479426,6.372404681,5.654775387,6.231521329,5.584975462,6.565873915,6.232918082,5.831030578,4.328652322,4.996866742,5.693620234
9007,10.76586047,11.72846512,10.84632558,10.61060465,9.940372093,9.753953488,8.490418605,9.554697674,8.745767442,7.101488372,6.536930233,7.221023256,6.719255814,7.358046512,6.45144186,6.562511628,5.096,5.128744186,6.226883721
9011,10.19199179,11.15862423,10.06694045,10.11750513,9.256673511,9.210831622,8.157597536,9.471560575,8.677669405,6.972587269,6.518429158,7.009034908,6.67926078,7.007956879,6.084958932,6.561447639,5.076899384,5.313809035,6.305082136
9015,9.080231766,10.15085208,9.374437628,9.156509884,7.831220177,7.711042945,6.988752556,8.833197001,8.150238582,6.538786639,5.846080436,6.388616224,5.933469666,6.276414451,5.728220859,5.60743013,4.571029312,5.061077028,6.326039536
10001,14.28977695,13.80910781,13.23810409,13.05328377,12.7074969,13.39690211,12.14386617,12.16158612,11.65743494,10.16443618,10.71071871,9.961462206,9.453345725,8.684200743,9.377075589,9.179553903,8.196778191,8.242379182,7.713568773
12019,11.69367816,9.993039591,9.640229885,9.721136654,10.99878672,10.80555556,9.850127714,10.56985951,9.209706258,8.386781609,8.371902937,9.573052363,7.152873563,6.15063857,6.801787995,6.324648787,6.720434227,7.17037037,6.868135377
12033,13.5527346,11.06545769,9.983362119,11.66286701,11.70328152,12.96637881,11.37409326,11.717962,9.688888889,9.097179044,9.666033391,9.329476108,8.808865861,7.754173863,8.274496258,7.871675302,7.584283247,7.513068509,7.648819804
12089,12.74954184,10.78527795,10.18857666,10.33408674,11.51869273,11.15039707,10.33304826,11.53726329,10.01771533,8.662736714,8.712400733,9.830910202,7.128283445,6.498594991,7.256017104,6.620769701,7.195784973,7.669211973,7.515394013
12101,12.02053817,10.88336079,10.08407468,10.39494783,11.35859418,11.11059857,10.71356398,10.31043383,8.709555189,8.50010983,9.011367381,9.12317408,8.107358594,7.658978583,7.865183965,7.075507963,7.187918726,7.491652938,6.845030203
12109,11.32189422,10.47669127,9.466482165,9.472878229,11.30873309,10.96174662,9.976937269,10.85879459,9.326199262,8.471463715,8.298769988,9.385670357,7.268819188,6.02601476,6.845387454,6.228597786,6.363899139,7.142927429,6.759717097
12113,13.7826418,11.00479635,10.03068139,11.50666159,11.81652075,12.41081081,11.27529501,11.7848877,9.74853445,9.108983632,9.697868291,9.284583175,8.667681766,7.739931481,8.275104682,7.766311382,7.604377617,7.716063951,7.915759421
13015,16.90141196,14.75224252,14.1923588,13.38795681,13.82400332,14.50066445,14.0730897,14.37591362,12.44692691,10.36137874,12.06038206,11.76528239,11.25855482,9.481644518,9.792026578,8.53845515,9.22807309,8.223421927,7.926744186
13039,13.31809524,11.30809524,10.51160714,10.46797619,11.79630952,11.35083333,10.52,11.39065476,10.20428571,8.67202381,9.236607143,10.02136905,7.480892857,6.709464286,7.661964286,6.973928571,7.478095238,7.89172619,7.44922619
13045,16.20675139,13.93018268,13.03550437,13.11278793,13.29173948,14.13598094,13.99682288,13.82001589,11.60500397,9.62192216,11.09539317,10.70397141,9.694757744,8.768546465,9.265210485,7.699841144,8.557188245,8.359968229,8.317394758
13047,15.94655582,14.29453682,13.58123515,13.02779097,13.00760095,14.40095012,13.4111639,13.73396675,11.49334917,10.46437055,11.57980998,11.54180523,10.67529691,9.224703088,9.102612827,8.077434679,9.316864608,7.639667458,7.342042755
13057,16.26571429,14.32211982,13.67142857,12.75170507,13.74857143,13.91502304,13.92258065,13.58525346,11.820553,9.899447005,11.47493088,11.63198157,10.64866359,9.260829493,9.380645161,8.103870968,9.161658986,8.444516129,7.766451613
13073,15.33276983,13.14343303,12.07607282,11.90611183,12.4023407,13.11157347,13.10663199,12.64395319,11.66046814,9.849544863,11.14668401,10.53576073,9.132509753,7.924317295,8.675682705,7.279583875,8.387386216,7.735110533,7.47503251
13077,16.80035524,14.10701599,12.96865009,13.49094139,13.58801066,14.55008881,14.16039076,14.44937833,11.86003552,9.879396092,11.75035524,11.25950266,10.28507993,9.127797513,9.669626998,8.093783304,8.914298401,8.73321492,8.452575488
13085,14.06895307,12.6967509,11.81805054,11.16913357,12.01263538,12.35794224,12.50685921,11.69548736,10.14187726,8.38898917,9.61732852,10.03610108,8.939169675,7.7433213,7.668050542,6.524548736,7.633032491,6.906498195,6.414440433
13113,17.33545817,14.59840637,13.55179283,13.73227092,14.43187251,14.98665339,15.29701195,15.09800797,12.80258964,10.50139442,12.07888446,11.81374502,10.84342629,9.419920319,10.04860558,8.610159363,9.479083665,9.556175299,8.983067729
13115,17.01564161,14.56621109,13.90668185,13.63955961,13.78466211,14.32574032,13.95193622,13.97342445,12.28936978,10.29589977,12.02915718,11.67593014,10.86446469,9.303037206,9.577448747,8.431283219,9.333029613,8.376006074,8.026651481
13123,12.51261343,11.49010889,10.75054446,9.96969147,10.74137931,11.46370236,11.23139746,10.05989111,9.043466425,7.551179673,8.60753176,8.579491833,7.513430127,6.743466425,6.977858439,5.752450091,6.373139746,6.520871143,6.160254083
13127,13.54789104,11.52864675,10.47592267,10.6440246,12.04200351,11.49050967,10.85940246,11.24780316,10.36063269,8.970913884,9.76572935,10.00140598,7.816783831,6.875307557,8.060808436,7.364499121,7.812829525,8.201230228,7.49797891
